sku,product_name,category,brand,baseline_velocity_per_hour,typical_stock_level,avg_reorder_quantity,lead_time_hours,unit_price,size_distribution,color_distribution,last_30_days_sales,stockout_count,peak_velocity_recorded
WJ-2024-BLK-L,Winter Jacket Black Large,Outerwear,NorthStyle,2.1,150,500,48,89.99,"S:15%,M:25%,L:35%,XL:25%","Black:40%,Navy:30%,Gray:20%,Red:10%",1512,0,8.5
WJ-2024-BLK-M,Winter Jacket Black Medium,Outerwear,NorthStyle,1.8,120,400,48,89.99,"S:15%,M:25%,L:35%,XL:25%","Black:40%,Navy:30%,Gray:20%,Red:10%",1296,0,7.2
WJ-2024-NAV-L,Winter Jacket Navy Large,Outerwear,NorthStyle,1.5,100,400,48,89.99,"S:15%,M:25%,L:35%,XL:25%","Black:40%,Navy:30%,Gray:20%,Red:10%",1080,1,6.8
SD-2024-BLU-M,Summer Dress Blue Medium,Dresses,TrendyWear,3.2,200,600,72,59.99,"XS:10%,S:20%,M:35%,L:25%,XL:10%","Blue:35%,White:25%,Pink:20%,Yellow:20%",2304,0,12.5
SD-2024-WHT-S,Summer Dress White Small,Dresses,TrendyWear,2.8,180,500,72,59.99,"XS:10%,S:20%,M:35%,L:25%,XL:10%","Blue:35%,White:25%,Pink:20%,Yellow:20%",2016,0,10.2
RJ-2024-DEN-32,Regular Jeans Denim 32,Bottoms,UrbanFit,4.5,300,800,96,79.99,"28:10%,30:20%,32:30%,34:25%,36:15%","Denim:60%,Black:30%,Gray:10%",3240,0,8.9
RJ-2024-BLK-30,Regular Jeans Black 30,Bottoms,UrbanFit,3.8,250,700,96,79.99,"28:10%,30:20%,32:30%,34:25%,36:15%","Denim:60%,Black:30%,Gray:10%",2736,1,9.5
TS-2024-WHT-L,T-Shirt White Large,Tops,BasicWear,6.2,400,1000,24,19.99,"S:20%,M:30%,L:30%,XL:20%","White:40%,Black:30%,Gray:20%,Navy:10%",4464,0,15.8
TS-2024-BLK-M,T-Shirt Black Medium,Tops,BasicWear,5.8,380,900,24,19.99,"S:20%,M:30%,L:30%,XL:20%","White:40%,Black:30%,Gray:20%,Navy:10%",4176,0,14.2
SN-2024-WHT-9,Sneakers White Size 9,Footwear,SportPro,2.3,150,400,120,129.99,"7:10%,8:20%,9:30%,10:25%,11:15%","White:50%,Black:30%,Gray:20%",1656,0,7.5
SN-2024-BLK-10,Sneakers Black Size 10,Footwear,SportPro,2.1,140,400,120,129.99,"7:10%,8:20%,9:30%,10:25%,11:15%","White:50%,Black:30%,Gray:20%",1512,1,6.8
HC-2024-BLK-OS,Hoodie Charcoal One Size,Outerwear,ComfortZone,3.5,220,600,48,69.99,"S:15%,M:30%,L:35%,XL:20%","Charcoal:35%,Black:30%,Navy:20%,Gray:15%",2520,0,11.2
HC-2024-NAV-OS,Hoodie Navy One Size,Outerwear,ComfortZone,3.1,200,550,48,69.99,"S:15%,M:30%,L:35%,XL:20%","Charcoal:35%,Black:30%,Navy:20%,Gray:15%",2232,0,9.8
SK-2024-BLK-M,Skirt Black Medium,Bottoms,ChicStyle,2.6,160,450,72,49.99,"XS:10%,S:25%,M:35%,L:20%,XL:10%","Black:40%,Navy:25%,Khaki:20%,White:15%",1872,0,8.3
SK-2024-NAV-S,Skirt Navy Small,Bottoms,ChicStyle,2.4,150,400,72,49.99,"XS:10%,S:25%,M:35%,L:20%,XL:10%","Black:40%,Navy:25%,Khaki:20%,White:15%",1728,0,7.9
BZ-2024-NAV-40,Blazer Navy Size 40,Outerwear,ExecutiveWear,1.2,80,250,96,159.99,"36:15%,38:20%,40:30%,42:25%,44:10%","Navy:45%,Black:35%,Gray:20%",864,0,4.5
BZ-2024-BLK-42,Blazer Black Size 42,Outerwear,ExecutiveWear,1.1,75,250,96,159.99,"36:15%,38:20%,40:30%,42:25%,44:10%","Navy:45%,Black:35%,Gray:20%",792,1,4.2
SW-2024-GRY-L,Sweater Gray Large,Tops,WarmKnits,2.8,180,500,72,79.99,"S:15%,M:25%,L:35%,XL:25%","Gray:35%,Black:30%,Navy:20%,Burgundy:15%",2016,0,9.5
SW-2024-BLK-M,Sweater Black Medium,Tops,WarmKnits,2.5,170,450,72,79.99,"S:15%,M:25%,L:35%,XL:25%","Gray:35%,Black:30%,Navy:20%,Burgundy:15%",1800,0,8.8
AC-2024-BRN-OS,Accessory Belt Brown One Size,Accessories,StylePlus,4.1,250,700,48,29.99,"OS:100%","Brown:40%,Black:35%,Tan:25%",2952,0,10.5
AC-2024-BLK-OS,Accessory Belt Black One Size,Accessories,StylePlus,3.9,240,650,48,29.99,"OS:100%","Brown:40%,Black:35%,Tan:25%",2808,0,9.8
LD-2024-BLK-8,Leather Dress Shoes Black Size 8,Footwear,ClassicFoot,1.5,100,300,144,189.99,"7:15%,8:25%,9:30%,10:20%,11:10%","Black:60%,Brown:40%",1080,0,5.2
LD-2024-BRN-9,Leather Dress Shoes Brown Size 9,Footwear,ClassicFoot,1.3,90,300,144,189.99,"7:15%,8:25%,9:30%,10:20%,11:10%","Black:60%,Brown:40%",936,1,4.8
CT-2024-KHA-32,Chino Pants Khaki 32,Bottoms,SmartCasual,3.3,210,550,72,69.99,"28:10%,30:20%,32:30%,34:25%,36:15%","Khaki:45%,Navy:30%,Black:25%",2376,0,10.1
CT-2024-NAV-34,Chino Pants Navy 34,Bottoms,SmartCasual,3.0,200,500,72,69.99,"28:10%,30:20%,32:30%,34:25%,36:15%","Khaki:45%,Navy:30%,Black:25%",2160,0,9.2
